Name,Brand,Description,Notes,Cleaned_Description
ambilux (formerly 50ml d'ambiguite) eau de parfum,Marlou," Ambilux is ambiguous only in the sense that it is puzzling that a list of largely plant-based spices, resins, and florals adds up to something so unapologetically animal. The first blast has our eyes rolling back in pleasure: a thickly furred musk redolent of warm animal, dripping tallow candles, and the salty skin of a loved one. That there are new perfumes out there that dare to challenge the great Muscs Khoublai Khan and Musc Tonkin is a pleasant surprise. Although Ambilux is quite different to these perfumes, it possesses the same earthy, no-holds-barred sensuality and a texture that is distinctly retro in its velvety thickness. The creator intended for this perfume to reflect the unique olfactory fingerprint we all carry, our own personal aroma, imprinting onto others as we touch, kiss, and make contact. But like its distant progenitor, L'Air de Rien, it also captures the smells of our nest: dusty spaces, books, pots overflowing with flowers, and old wood.  Despite the listed notes, what we predominantly pick up is a warm, oily sheep's wool nuance  waxy and lanolin-like, deeply inviting to the touch. Costus root is what gives the perfume its arousing animal fattiness, but it is used subtly here, woven into the other notes for an effect that is intimate but not uncomfortably close. The sweet, slippery feel of the woolen musk is cut with a bright, almost briny ylang note, aerating the heart with a salty breeze. In the drydown, castoreum gives us nuances of dry, smoky tobacco and leather. Ambilux captures all the grimy intimacy of our own bodies, our loved ones, and the crawl spaces of our inner sanctum: it's sexy, but also comfortable and elegant.     Update: Ambilux is a new version of the beloved 50ml d'Ambiguite, made a bit lighter, warmer, and more wearable while retaining all the animalic sensuality of the original.)"," Pink peppercorn, cumin, incense, ylang, dune plants, castoreum, costus",ambilux ambiguous sense puzzle list largely plantbase spice resin floral add something unapologetically animal first blast eye roll back pleasure thickly fur musk redolent warm animal drip tallow candle salty skin love one new perfumes dare challenge great muscs khoublai khan musc tonkin pleasant surprise although ambilux quite different perfumes possesse earthy noholdsbarre sensuality texture distinctly retro velvety thickness creator intend perfume reflect unique olfactory fingerprint carry personal aroma imprint onto touch kiss make contact like distant progenitor lair de rien also capture smell nest dusty space book pot overflow flower old wood despite list note predominantly pick warm oily sheeps wool nuance waxy lanolinlike deeply invite touch costus root give perfume arouse animal fattiness use subtly weave note effect intimate not uncomfortably close sweet slippery feel woolen musk cut bright almost briny ylang note aerate heart salty breeze drydown castoreum give us nuance dry smoky tobacco leather ambilux capture grimy intimacy body love one crawl space inner sanctum sexy also comfortable elegant update ambilux new version beloved 50ml dambiguite make bit light warm wearable retain animalic sensuality original
grimoire eau de parfum,Anatole Lebreton," A Grimoire: an ancient word for an ancient tome of spells, a sacred text, powerful in the right hands and dangerous in the wrong ones. Anatole Lebreton invites us to imagine such a volume, weathered by age and coated in dust, at the center of an overgrown cabin, invisible to all but the trained eye. An open window lets just the faintest sliver of light inside, along with the scents of green moss climbing the walls and a well-cultivated garden of herbs and spices, essential for the creation of magical objects. Dense clouds of incense dance in the light-beam, hinting at secrets unknowable, power as-of-yet untapped, waiting in a realm directly above and below our own. Warm, rich woods from the cabin walls and dusty paper from the pages of the book give rich body to the unique aroma inside, comforting but imposing, like a warm embrace you might never emerge from. An incense fragrance well beyond the confines of the modern world."," Bergamot, basil, lavender, elemi, olibanum, Atlas cedar, cumin, patchouli, moss, muscs",grimoire ancient word ancient tome spell sacred text powerful right hand dangerous wrong one anatole lebreton invites us imagine volume weather age coat dust center overgrow cabin invisible train eye open window lets faint sliver light inside along scent green moss climb wall wellcultivate garden herbs spice essential creation magical object dense cloud incense dance lightbeam hinting secret unknowable power asofyet untapped wait realm directly warm rich wood cabin wall dusty paper page book give rich body unique aroma inside comfort impose like warm embrace may never emerge incense fragrance well beyond confine modern world
the decay of the angel eau de parfum,Timothy Han Edition Perfumes," This is a memorizing, burnt bouquet of exotic flowers inspired by Yukio Mishima's 1971 posthumously published novel, The Decay of The Angel. Like all of Timothy Han's creations, the highest level of natural ingredients are used here, and Han's artistic vision presents a smart,  deeply affecting fragrance that walks us through the 5 stages of a falling angel: decay, diaphoresis, dirt, dissatisfaction, and ultimately, darkness.Han's olfactive interpretation of an angelic fall starts with mandarin doused rose, ylang, and neroli. The fresh opening is contrasted with a heart of indolic jasmine, ripe and just starting to wilt. Its gloriously smoky base includes crisp frankincense along with smoldering cade, oud and cedar woods.Â  Patchouli, tonka and labdanum add a dimension of soft earthiness.A sensual intermingling of hedione and musk float throughout the charred dry-down, contrasting heavenly veneration and human desires. Dazzling, challenging, and alluring, The Decay of The Angel makes a strong argument for the sensual perks of mortality."," Mandarin, neroli, rose, ylang-ylang, frankincense, sambac jasmine, acacia, cade, oud, cedarwood, patchouli, tonka, labdanum",memorize burn bouquet exotic flower inspire yukio mishimas 1971 posthumously publish novel decay angel like timothy hans creation high level natural ingredient use hans artistic vision present smart deeply affect fragrance walk us 5 stage fall angel decay diaphoresis dirt dissatisfaction ultimately darkness hans olfactive interpretation angelic fall start mandarin douse rise ylang neroli fresh opening contrast heart indolic jasmine ripe start wilt gloriously smoky base include crisp frankincense along smoldering cade oud cedar woodsa patchouli tonka labdanum add dimension soft earthiness sensual intermingle hedione musk float throughout char drydown contrast heavenly veneration human desire dazzle challenge alluring decay angel make strong argument sensual perk mortality
dryad eau de parfum,Papillon Artisan Perfumes," Liz Moores, perfumer behind Papillon Perfumes, lives in a house deep inside the New Forest, surrounded by a menagerie of children, horses, and animals that she has rescued and nurtured. Given that the forest forms a protective ring around Liz and her animals, it makes sense that Dryad feels like her most personal perfume yet, inspired as it is by the nymphs said to dwell in oak trees according to Greek mythology. Dryad is a sylvan fantasy of friendly trees linking their branches together to form a sunlit, green canopy over your head. Although far sexier and more ruggedly outdoorsy than anything from Guerlain or Dior, fans of vintage Vol de Nuit and Miss Dior will still feel a thrill of recognition at Dyrad's damp, mossy heart of galbanum, narcissus and an overdose of genuine oakmoss. Smoky, tough galbanum and clary sage add a resinous, rubbery dry warmth to the moistness of the green heart, and there is a touch of sun-burnt hay by way of deer tongue, a plant rich in coumarin and vanilla, and often used to flavor tobacco. Costus and apricot add a sly hint of naughty inner thigh  but just a hint. Dryad is a shamanic, witchy, but also relaxed scent that coaxes open the rigidly classical lines of the classic green chypre, ushering in sunlight, herbs, and a bunch of bright aromatics. The result is a Green Goddess of a fragrance, and the first green chypre that belongs more in the forest than in the boardroom."," cedrat, bigaradier orange, bergamot, narcissus, oakmoss, jonquil, clary sage, orange blossom, lavender, orris, vetiver, thyme, galbanum, costus, tarragon, apricot, benzoin, peru balsam, styrax",liz moore perfumer behind papillon perfumes life house deep inside new forest surround menagerie child horse animal rescue nurture give forest form protective around liz animal make sense dryad feel like personal perfume yet inspire nymphs say dwell oak tree accord greek mythology dryad sylvan fantasy friendly tree link branch together form sunlit green canopy head although far sexier ruggedly outdoorsy anything guerlain dior fan vintage vol de nuit miss dior still feel thrill recognition dyrad damp mossy heart galbanum narcissus overdose genuine oakmoss smoky tough galbanum clary sage add resinous rubbery dry warmth moistness green heart touch sunburnt hay way deer tongue plant rich coumarin vanilla often use flavor tobacco costus apricot add sly hint naughty inner thigh hint dryad shamanic witchy also relaxed scent coaxes open rigidly classical line classic green chypre usher sunlight herbs bunch bright aromatics result green goddess fragrance first green chypre belong forest boardroom
l'homme accompli eau de parfum,Divine," Yann Vasnier has done it again. A fresh, bone-dry masculine leather, L'Homme Accompli exudes quiet class from every pore. Opening on the classic snap of a Farina-style eau de cologne, the bristle of herbs and lemon soon dies back to reveal a musky, violet leaf-driven leather that will bring tears to the eyes of the vintage Fahrenheit lover. It is at once a familiar and elegant smell  signature scent worthy for the man who is sure of his place in the world. Bolstered by a musky Atlas cedar, L'Homme Accompli's leather accord has tremendous body and presence, while managing to skip all the sweet, gouty richness of modern masculine leathers. And it's that lightness of touch that makes this fragrance so special - the air and space that Vasnier has injected into its structure allows room to breathe. L'Homme Accompli grows ever drier and darker as time passes, the herbs and violet leather curling up under the smoke of styrax resin and guaiac wood, and finishing in a salty whisper of beach amber. If Cary Grant were a fragrance, he would be L'Homme Accompli."," Amber, leather, vetiver, guaiac wood, styrax, atlas cedar, violet, lemon, bergamot",yann vasni fresh bonedry masculine leather lhomme accompli exude quiet class every pore opening classic snap farinastyle eau de cologne bristle herbs lemon soon die back reveal musky violet leafdriven leather bring tear eye vintage fahrenheit lover familiar elegant smell signature scent worthy man sure place world bolster musky atlas cedar lhomme accomplis leather accord tremendous body presence manage skip sweet gouty richness modern masculine leather lightness touch make fragrance special air space vasni inject structure allow room breathe lhomme accompli grow ever drier darker time pass herbs violet leather curl smoke styrax resin guaiac wood finish salty whisper beach amber cary grant fragrance would lhomme accompli
white madera eau de parfum,Omnia Profumo," For years now, Omnia's Madera has been one of our reference gourmand scents- a sumptuous, mouthwatering butterscotch-vanilla-caramel delight that turns heads and entices those in its trail. Now, Omnia returns to one of their greatest hits with a fresh new take, supplementing the warm sweetness we love with a crisp, fresh, spicy new heart that ignites the senses and reinvents a classic. While the fragrance still opens with the instantly recognizable, positively sumptuous mix of vanilla bean and rich Madagascar vanilla, now it's also lightened and brightened with juicy, tart citrus. In the heart, the difference becomes even more clear, as licorice-y star anise and fiery cinnamon bring an intense, bright, and subtly masculine edge, while the soft florals of the original Madera still blend with the vanilla to provide smooth creaminess. And in the impossibly rich base, coconut and musk still join the party, keeping us firmly in gourmand territory. So is White Madera still Madera? Absolutely- the cozy, delectable vanilla you know and love is still very much present. But this is a new Madera, with a spicy, sophisticated, grown-up kick- and those seeking some energy with their comfort will not be disappointed."," Vanilla, citrus, peach blossom, floral notes, cinnamon, star anise, tobacco blossom, coconut, white musk, cedar",year omnias madera one reference gourmand scent sumptuous mouthwatere butterscotchvanillacaramel delight turn head entice trail omnia return one great hit fresh new take supplementing warm sweetness love crisp fresh spicy new heart ignites sense reinvent classic fragrance still open instantly recognizable positively sumptuous mix vanilla bean rich madagascar vanilla also lighten brighten juicy tart citrus heart difference become even clear licoricey star anise fiery cinnamon bring intense bright subtly masculine edge soft floral original madera still blend vanilla provide smooth creaminess impossibly rich base coconut musk still join party keep us firmly gourmand territory white madera still madera absolutely cozy delectable vanilla know love still much present new madera spicy sophisticated grownup kick seek energy comfort not disappointed
cactus azul eau de parfum,Fueguia 1833," In a garden facing the sea of Uruguay,  a Cactus Flower discovers a corner to feel the soft coat of a sunbeam. Many fragrances are described as ""fresh, "" but that doesn't mean any old fresh scent possesses the kind of invigorating crispness that puts a buzz in your step and a smile on your face. Cactus Azul,  a delightful new offering from Fueguia,  delivers all that and more,  with a uniquely mouthwatering composition that blends floral,  herbal and woody elements for a lighter-than-air fragrance with surprisingly sexy substance. Clean,  heady cactus flowers evoke high-desert romanticism,  while a mouthwatering note of nanah mint (spearmint) shifts our gaze oceanside. Cedarwood,  fresh,  sharp and smooth,  gives backbone and a gently masculine touch. If any old generic fresh fragrance is all you're looking for,  this might not be the scent for you. But if you want a fresh,  vibrant scent that can truly turn heads,  Cactus Azul is an undeniable treasure."," Cactus flower, cedarwood, nanah mint",garden face sea uruguay cactus flower discover corner feel soft coat sunbeam many fragrance describe fresh not mean old fresh scent possesse kind invigorate crispness put buzz step smile face cactus azul delightful new offering fueguia deliver uniquely mouthwatere composition blend floral herbal woody element lighterthanair fragrance surprisingly sexy substance clean heady cactus flower evoke highdesert romanticism mouthwatere note nanah mint spearmint shift gaze oceanside cedarwood fresh sharp smooth give backbone gently masculine touch old generic fresh fragrance look may not scent want fresh vibrant scent truly turn head cactus azul undeniable treasure
chamber eau de parfum,Fueguia 1833," Chamber's first perfume was created inspired by the thought of architecture, the analogy. Inspired by architect Louis Kahn's breathtaking, groundbreaking Kimbell Art Museum in Fort Worth, Chamber is a scent dedicated to exploring interior space, something it does with an impressively creative array of materials drawn from every level of the natural world, from the bottom of a vast lake to high above our heads. To represent the museum's abundance of concrete, marble, glass, grass and solar light, Chamber employs a fascinating blend of green, fresh, mineralic and spiced notes, notably fondo de lago, a collection of plant life harvested from the lake floor, which combines with tree moss and mate to deliver a sophisticated and unpredictable green scent with compelling depth and an emerging airiness evocative of the steady flow of light across the Kimbell's famed vaulted ceilings. Kahn's genius was to design a museum space that was at once imposing and welcoming, comfortable and beautiful, and as much a work of art as the treasures it would contain. With Chamber, we add yet another treasure to the Kimbell's collection."," Aquatic plants, Spanish moss, Mate",chamber first perfume create inspire think architecture analogy inspire architect louis kahns breathtake groundbreake kimbell art museum fort worth chamber scent dedicated explore interior space something impressively creative array material drawn every level natural world bottom vast lake high head represent museum abundance concrete marble glass grass solar light chamber employs fascinating blend green fresh mineralic spice note notably fondo de lago collection plant life harvest lake floor combine tree moss mate deliver sophisticated unpredictable green scent compelling depth emerge airiness evocative steady flow light across kimbells fame vault ceiling kahns genius design museum space impose welcome comfortable beautiful much work art treasure would contain chamber add yet another treasure kimbells collection
jacaranda eau de parfum,Fueguia 1833," The jacaranda blossoms fall behind a misty window. An arpeggio played on a nineteenth-century guitar makes the beautiful silence disappear. From South Africa to Los Angeles, the jacaranda tree stands as an imposingly beautiful symbol of renewal- the brilliant purple blossoms appearing seemingly instantaneously, flooding city blocks with radiant color. These majestic trees are captured in all their gorgeous mystery in Jacaranda, a rich woody fragrance with the import and bearing of an ancient and noble forest. Deep, dark mahogany is interwoven with the freshness of spruce and the almost floral tones of rosewood for a complexity that recalls the exquisite finishes one might find in a master-quality violin, where power and precision combine. Lovers of deep, naturalistic wood scents, Jacaranda is your new obsession."," Rosewood, Mahogany, Spruce",jacaranda blossom fall behind misty window arpeggio play nineteenthcentury guitar make beautiful silence disappear south africa los angeles jacaranda tree stand imposingly beautiful symbol renewal brilliant purple blossom appear seemingly instantaneously flooding city blocks radiant color majestic tree capture gorgeous mystery jacaranda rich woody fragrance import bear ancient noble forest deep dark mahogany interwoven freshness spruce almost floral tone rosewood complexity recall exquisite finish one may find masterquality violin power precision combine lover deep naturalistic wood scent jacaranda new obsession
muskara phero j eau de parfum,Fueguia 1833," An embodiment of the well-kept secret of desire. An elixir that connects the contemporary concept of a fragrance with ancient instincts and ancestry. Soft as skin and thrillingly sensual, Muskara Phero J uses a unique blend of plants from the Amazon region and distilled fragrant molecules to create an olfactory mask, ananti-perfume with a possessing ability to interact with the natural smell of the wearer. Ideal for adding a deeply sexy layer of musk to any other scent from the Fueguia collection and beyond, it's also a diabolical secret weapon worn all on its own- a seductive second skin you wouldn't notice until you were firmly in its clutches."," musks ""from the pheromone family""",embodiment wellkept secret desire elixir connect contemporary concept fragrance ancient instinct ancestry soft skin thrillingly sensual muskara phero j use unique blend plant amazon region distil fragrant molecules create olfactory mask anantiperfume possess ability interact natural smell wearer ideal add deeply sexy layer musk scent fueguia collection beyond also diabolical secret weapon wear seductive second skin would not notice firmly clutch
quilombo eau de parfum,Fueguia 1833," In colonial Brazil, Quilombos were synonymous of resistance and independence. Protected by a labyrinth of rivers and impenetrable forests, these fugitive worlds encapsulated an untouched tropical landscape. Mixing together native and African roots, a wild atmosphere emerged full of dances, rhythms and delicious flavours made from cupuacÃº and dulce de leche (a candied concentration made from burnt milk).  This is the scent of Quilombo, a mouthwatering treat that elevates the art of the milky gourmand beyond where we thought it could go. A sweet, creamy, ""how did they do that?""-level realistic hot milk accord wows our noses and tastebuds alike, while careful touches of vanilla and cane sugar supplement without overwhelming, keeping the composition specific and never in the realm of generic dessert scent. Long a symbol of hope, perseverance and joy in the face of oppression, Quilombos occupy an important place in Brazilian history. No matter your own personal battles, we think Quilombo can be a fragrance that offers some small element of these important concepts with each spray."," Vanilla, Pampa Milk, Cane Sugar",colonial brazil quilombos synonymous resistance independence protect labyrinth river impenetrable forest fugitive world encapsulate untouched tropical landscape mix together native african root wild atmosphere emerge full dance rhythms delicious flavours make cupuacao dulce de leche candy concentration make burn milk scent quilombo mouthwatere treat elevate art milky gourmand beyond think could go sweet creamy thatlevel realistic hot milk accord wow nose tastebud alike careful touch vanilla cane sugar supplement without overwhelming keep composition specific never realm generic dessert scent long symbol hope perseverance joy face oppression quilombos occupy important place brazilian history no matter personal battle think quilombo fragrance offer small element important concept spray
thays eau de parfum,Fueguia 1833," Passionate about native flora, Thays created unique parks. We have imagined the improbable encounters of multiple odors in his enchanting gardens. Originally born in France, Carlos Thays nevertheless was as true an Argentine as lived, with his landscape and park designs forming a significant and lasting element of Buenos Aires and beyond, parks that still have the capacity to enchant and amaze. To represent this in fragrance, Fueguia merges the delicate tones of mate flowers mingling with lush, creamy osmanthus and the vivid freshness of green tea. One sniff, and you're wandering the the Roman gardens of the Jardin Botanico, Thays' mansion ahead of you, lost in the natural splendor and in love with the world."," Mate flowers, Osmanthus, Green tea",passionate native flora thays create unique parks imagine improbable encounter multiple odor enchanting gardens originally bear france carlos thays nevertheless true argentine live landscape park design form significant last element buenos aire beyond parks still capacity enchant amaze represent fragrance fueguia merge delicate tone mate flower mingle lush creamy osmanthus vivid freshness green tea one sniff wander roman gardens jardin botanico thays mansion ahead lose natural splendor love world
la cautiva eau de parfum,Fueguia 1833," A heavenly musk laced with fruit and vanilla. La Cautiva meansThe Captive,  and it refers to an epic poem by Esteban Echeverria which is considered one of the first great works of modern Argentinian literature. This is an imaginative speculation about the scent of Mary, the main character, and while we have never read the poem, we can state unequivocally that she smelled delicious. This is airy and delectable  an enchanting confection that features a creamy whipped vanilla and a piercingly sweet black currant. The musk is soft spoken and warms to the skin as the edible elements come forward. Initially, there is a hint of syrup to the berries, but the intense sugar eases into a juicy, fresh currant with a hint of minty green leaves. As cloud-light and effortless as a meringue, topped with perfectly ripe berries - this is like a dessert you would eat in a dream.  The perfect warm weather gourmand."," Musk, blackcurrant, vanilla",heavenly musk lace fruit vanilla la cautiva meansthe captive refer epic poem esteban echeverria consider one first great work modern argentinian literature imaginative speculation scent mary main character never read poem state unequivocally smell delicious airy delectable enchanting confection feature creamy whip vanilla piercingly sweet black currant musk soft spoken warm skin edible element come forward initially hint syrup berry intense sugar ease juicy fresh currant hint minty green leave cloudlight effortless meringue top perfectly ripe berry like dessert would eat dream perfect warm weather gourmand
biblioteca de babel eau de parfum,Fueguia 1833," Cedar shelves, heavy leather bookbindings, vellum leaves, the smell of ink. The complex environment of an old book is brought to life. Named after a short story by Jorge Luis Borges, about an enormous library of interlocking rooms, housing a vast collection of books  this fragrance is about the intoxicating scent of an old library where the books have been kept impeccably dry. It is a combination of warm woods, leather bindings, and a hint of ink. The strongest element here is absolutely the wood  warm, reassuring cedar and a South American wood called cabreuva, which complements the cedar.  This is deep, burnished and luxurious. The first impression is waxy and surprisingly sweet. There is a rich tuberose-like note, like a flower pressed between the pages, and a dusting of cinnamon. Than we get the soft, worn leather of book bindings, the dry spiciness of old vellum and  a trace of tobacco. This is like the warm, comforting embrace of a favorite armchair, in a book-lined room. An instant favorite  we would love to spend a long time in this library."," Cedar, cabreuva (woody note), cinnamon",cedar shelf heavy leather bookbinding vellum leave smell ink complex environment old book bring life name short story jorge luis borges enormous library interlock room housing vast collection book fragrance intoxicate scent old library book keep impeccably dry combination warm wood leather binding hint ink strong element absolutely wood warm reassure cedar south american wood call cabreuva complement cedar deep burnish luxurious first impression waxy surprisingly sweet rich tuberoselike note like flower press page dusting cinnamon get soft wear leather book binding dry spiciness old vellum trace tobacco like warm comfort embrace favorite armchair bookline room instant favorite would love spend long time library
panthea eau de parfum,Stephane Humbert Lucas 777," How do you picture the scent of heaven? Forget about the specificity of religion, and focus only on the general concept: a pearly-white paradise above the clouds, clean and enveloping, mysterious yet sublimely blissful. This is the scent of Panthea, a fresh, feminine, iris-driven addition to the 777 series imbued with an almost transcendent sense of grace. Pathea opens with an energetic sense of freshness, balancing the gentle juiciness of tangerine against the sparkle of pink pepper with a sweepingly smooth white tea providing a pristine backdrop. The heart of iris has plenty of compelling powdery floral character, but also a softness that eschews rooty or earthy tones in favor of delightfully lush white florals and muskiness. A delicate balance of light woods, tonka and patchouli lend longevity without bulk- the scent is weightless throughout. Spend a day in the clouds with Panthea- we doubt you'll ever want to come back to earth."," Bergamot, pink pepper, tangerine, elemi, white tea, carrot, iris, jasmine, violet, carnation, white musk, tobacco flower, tonka, sandalwood, patchouli",picture scent heaven forget specificity religion focus general concept pearlywhite paradise cloud clean envelop mysterious yet sublimely blissful scent panthea fresh feminine irisdriven addition 777 series imbue almost transcendent sense grace pathea open energetic sense freshness balance gentle juiciness tangerine sparkle pink pepper sweepingly smooth white tea provide pristine backdrop heart iris plenty compelling powdery floral character also softness eschews rooty earthy tone favor delightfully lush white floral muskiness delicate balance light wood tonka patchouli lend longevity without bulk scent weightless throughout spend day cloud panthea doubt ever want come back earth
wish come true eau de parfum,Stephane Humbert Lucas 777," Sweet and shimmering, lush and enveloping, Wish Come True is a mystical potion perfect for any and all who know you're never too old to believe in magic. Crafted around a gorgeous symphony of citrus, florals and vanilla, Stephane Humbert Lucas' latest journey to faraway lands leads not to the palaces and oases of the Middle East, but to Avalon itself, a world of sweet enchantments and illusions that may be more real than our own reality. Wish Come True opens with fresh, bright citrus brushed with sweet ylang and enveloped in powder, like a ray of sunlight through a gentle fog. A supernatural tuberose, both fresh and voluptuous, lies amidst a bed of hypnotic incense and ambergris, with a rich vein of labdanum and vanilla coating every surface, drawing us ever further into the beautiful surrealism.  Enchanting, creative and prosaic, Wish Come True is a new journey into mythical lands- one you won't want to miss."," Tangerine, bergamot, ylang-ylang, labdanum, incense, jasmine, ambergris, tuberose, vanilla, musk",sweet shimmering lush envelop wish come true mystical potion perfect know never old believe magic craft around gorgeous symphony citrus floral vanilla stephane humbert lucas late journey faraway land lead not palace oasis middle east avalon world sweet enchantment illusion may real reality wish come true open fresh bright citrus brush sweet ylang envelop powder like ray sunlight gentle fog supernatural tuberose fresh voluptuous lie amidst bed hypnotic incense ambergris rich vein labdanum vanilla coat every surface draw us ever beautiful surrealism enchanting creative prosaic wish come true new journey mythical land one not want miss
mem eau de parfum,Bogue Profumo," Not since AimÃ¨ Guerlain created Jicky in 1889 has a perfumer done something so radical to lavender. Antonio Gardoni takes the sunny herb from its kitchen garden setting and passes it through clay, wood, minerals, burned sugar, and wax so that a new form emerges, like steel forged by the elements. MEM contains all the hallmark Bogue signatures but represents a clear step forward in complexity even from the masterpiece that is Maai.MEM opens up on a dark lavender note that smells less like fresh herbs and more like clay and cepes. Sunshine soon arrives in the form of hops, toasted malt, and the pale ale fizz of aldehydes, lifting the scent out of its humus-rich opening. The scorched-sugar of ethyl maltol caramelizes the lavender, creating a phantom accord of fruit like the dark, almost calcified contents of a forgotten jar of peach marmalade. But as soon as the mind adjusts to this accord, MEM shifts again, this time into a rich floral heart of jasmine, rose, and ylang ylang that sacrifices prettiness for the more interesting facets of wax, gasoline, and rubber. Indian sandalwood with its wheaten milkiness and Himalayan cedarwood with its lingering note of woodsmoke work in tandem to ease the florals and aromatics into the base. The drydown, which is sturdy and beautiful, weaves the sweet dust of unlit incense into the musky, salty, animalic base of a barbershop fougere. MEM is not a perfume that lends itself to easy interpretation, it will reward your patience a hundred times over. In terms of who can wear it, MEM is something of a chimera: sometimes it seems masculine, at others, feminine. Beautiful, quixotic, and memorable, we think this is artisanal perfumery at its most daring."," Petitgrain, mandarin, grapefruit, lavender (4 different species), ylang ylang, lily of the valley, white champaca, jasmine grandiflorum, rose damascena, bourbon geranium, vanilla, peppermint, laurel, Siam benzoin, rosewood, sandalwood, Himalayan cedarwood, labdanum, ambergris, musk, castoreum, civet, amber",not since aima guerlain create jicky 1889 perfumer something radical lavender antonio gardoni take sunny herb kitchen garden set pass clay wood mineral burn sugar wax new form emerge like steel forge element mem contain hallmark bogue signature represent clear step forward complexity even masterpiece maai mem open dark lavender note smell less like fresh herbs like clay cepes sunshine soon arrive form hops toast malt pale ale fizz aldehyde lift scent humusrich opening scorchedsugar ethyl maltol caramelize lavender create phantom accord fruit like dark almost calcify content forget jar peach marmalade soon mind adjust accord mem shift time rich floral heart jasmine rise ylang ylang sacrifice prettiness interesting facet wax gasoline rubber indian sandalwood wheaten milkiness himalayan cedarwood linger note woodsmoke work tandem ease floral aromatics base drydown sturdy beautiful weave sweet dust unlit incense musky salty animalic base barbershop fougere mem not perfume lend easy interpretation reward patience hundred time term wear mem something chimera sometimes seem masculine feminine beautiful quixotic memorable think artisanal perfumery dare
delma eau de parfum,Widian," The Dalma Island lies just off the coast of Abu Dhabi.  It's known for its pearl trade and famous for its pearl divers and legends of buried treasure left behind by ""pearl pirates.""     Widian uses the images and stories of Dalma Island as inspiration for one of its softest, sweetest compositions yet. Leather and marshmallow shape a base that is as delicious as it is fresh. It creates the foundation for Delma's creaminess, which never crosses fully into the gourmand category,  but rather is contrasted by resinous guaiac and fresh green galbanum. The peach-laced floral heart of the composition is balanced by a dusting of saffron and nutmeg. Delma's contrasting notes are masterfully blended into the olfactive equivalent of the smooth, iridescent texture of a pearl.  Shimmering, sweet and irresistible."," Mandarin, peach, bergamot, heliotrope, jasmine, freesia, geranium, nutmeg, patchouli, saffron, leather, woody notes, marshmallow",dalma island lie coast abu dhabi know pearl trade famous pearl diver legends bury treasure left behind pearl pirate widian use image story dalma island inspiration one soft sweetest composition yet leather marshmallow shape base delicious fresh create foundation delmas creaminess never crosse fully gourmand category rather contrast resinous guaiac fresh green galbanum peachlace floral heart composition balance dusting saffron nutmeg delmas contrast note masterfully blend olfactive equivalent smooth iridescent texture pearl shimmering sweet irresistible
liwa eau de parfum,Widian," The Liwa oasis is a lush valley of date palm farms and Bedouin villages in the middle of a seemingly endless sea of sand. Its improbable beauty is the inspiration behind Widian's newest fragrance, a gorgeously modern oriental that perfectly blends stylish florals with exotic spice. Liwa evokes the oasis with lush jasmine, creamy amber, and sandalwood surrounded by dry saffron, wafting smoke and a powdery patchouli and vetiver base. It's a perfectly balanced combination of heady powdery spice and smoke with creamy sweet white florals and ambers. Like its namesake, Liwa is a hidden treasure, waiting to be discovered."," Jasmine, saffron, bergamot, artemisia, amber, white rose, geranium, cedar, patchouli, sandalwood, incense",liwa oasis lush valley date palm farm bedouin village middle seemingly endless sea sand improbable beauty inspiration behind widian new fragrance gorgeously modern oriental perfectly blend stylish floral exotic spice liwa evoke oasis lush jasmine creamy amber sandalwood surround dry saffron waft smoke powdery patchouli vetiver base perfectly balance combination heady powdery spice smoke creamy sweet white floral amber like namesake liwa hide treasure wait discover
